Ticker,Market,Sector,Rows,Ret_Mean%,Ret_Std%,Skewness,Kurtosis,Price_Min,Price_Max
9868.HK,China,ev,777,0.1472,4.2118,0.855,6.72,26.05,108.5
9888.HK,China,tech,777,0.0279,2.6817,0.359,3.958,75.5,160.5
9988.HK,China,ecommerce,777,0.0829,2.6632,0.483,6.714,65.13,185.1
9999.HK,China,ecommerce,777,0.0624,2.5267,-1.243,17.036,118.78,245.96
AAPL,US,tech,778,0.0767,1.5951,0.825,13.7,161.42,285.92
ADBE,US,software,778,-0.0336,2.0956,-0.855,10.468,225.35,634.76
ADYEN.AS,Europe,payments,778,0.0018,3.188,-0.301,60.173,630.8,1846.0
AIR.PA,Europe,aerospace,778,0.0622,1.5591,-0.342,4.182,116.56,220.2
AMZN,US,ecommerce,778,0.134,1.944,0.266,4.54,102.05,254.0
ASML,Europe,semiconductors,778,0.1405,2.5123,-0.21,5.659,558.53,1526.51
AXISBANK.NS,India,banking,778,0.0687,1.4194,0.015,3.422,857.58,1403.0
AZN.L,Europe,pharma,778,0.0404,1.4867,-0.067,8.273,9495.95,15542.0
BAC,US,banking,778,0.0951,1.5514,-0.274,6.122,23.67,56.93
BAJAJ-AUTO.NS,India,auto,778,0.1283,1.5337,-0.44,7.757,4004.32,12353.32
BAJAJFINSV.NS,India,financial_services,778,0.0514,1.4225,0.216,3.19,1315.73,2176.6
